App,Participant,Condition,Block,Trial,A,W,Ae,dx,PT(ms),ST(ms),MT(ms),Errors,TRE,TAC,MDC,ODC,MV,ME,MO
FittsTaskTwo,P99,C01,B01,3,500.0,60.0,490.4440333295079,-6.507674585858856,856,99,955,0,0,0,2,1,9.113601017660894,23.011616198688166,-23.011616198688166
FittsTaskTwo,P99,C01,B01,4,500.0,60.0,492.11909127359127,-4.4944405597650325,640,110,750,0,0,0,2,1,7.674435433344776,11.422756909647433,-11.422756909647433
FittsTaskTwo,P99,C01,B01,5,500.0,60.0,454.2960145892239,-41.67575880115767,780,124,904,1,0,0,1,1,5.3397619792156785,7.758571081092031,-7.033894044772479
FittsTaskTwo,P99,C01,B01,6,500.0,60.0,488.068708737883,-8.189288678783345,964,96,1060,0,0,1,1,0,7.921955873522968,8.178004225879397,-4.80878900173421
FittsTaskTwo,P99,C01,B01,7,500.0,60.0,469.80928430108975,-26.828410603354634,542,93,635,0,0,0,2,1,13.184193942142787,19.2775696250315,-19.2775696250315
FittsTaskTwo,P99,C01,B01,8,500.0,60.0,486.97874221273827,-9.658952691706109,562,109,671,0,0,0,2,1,17.098577905592062,25.759220718156353,25.359486507563915
FittsTaskTwo,P99,C01,B01,9,500.0,60.0,461.85653670697405,-34.401460709692266,499,78,577,1,0,0,1,1,4.066965842171241,7.0134297207366405,6.912280563055203
FittsTaskTwo,P99,C01,B01,10,500.0,60.0,481.35803851903216,-14.613734871349358,486,80,566,0,0,1,2,0,8.134124255966094,11.60960117427178,10.594665774009382
FittsTaskTwo,P99,C01,B01,11,500.0,60.0,506.63742301010825,10.023891176751942,530,90,620,0,0,0,2,0,3.4702423244198433,6.505735660703989,-6.249234760070947
FittsTaskTwo,P99,C01,B01,12,500.0,60.0,487.832109516136,-9.11959839923079,509,78,587,0,0,2,2,0,11.967756971120293,11.168828545404455,6.641649268525274
FittsTaskTwo,P99,C01,B01,0,500.0,30.0,488.4660723114962,-8.006484835422034,671,78,749,0,0,1,2,1,5.6668473601345335,5.408265808256975,3.068760868296574
FittsTaskTwo,P99,C01,B01,1,500.0,30.0,500.0,4.0,499,93,592,0,0,1,2,1,5.134164890496494,4.0701754385964986,0.8771929824560284
FittsTaskTwo,P99,C01,B01,2,500.0,30.0,487.24344682845185,-9.229110318466384,609,78,687,0,0,0,1,0,7.608072652234139,14.998686748022342,-14.998686748022342
FittsTaskTwo,P99,C01,B01,3,500.0,30.0,490.1562790110856,-6.795428904281159,749,93,842,0,0,0,2,1,15.144132229981755,26.47063042640817,-26.47063042640817
FittsTaskTwo,P99,C01,B01,4,500.0,30.0,493.9635839047493,-2.649947928606982,702,63,765,0,0,1,3,0,15.176086884267303,12.262594311090522,-2.4304341487244723
FittsTaskTwo,P99,C01,B01,5,500.0,30.0,491.1569832589271,-4.814790131454478,686,78,764,0,0,1,2,1,29.377349359063125,32.41101254318431,30.5050254685335
FittsTaskTwo,P99,C01,B01,6,500.0,30.0,489.584049556398,-6.6739478602683455,702,78,780,0,0,0,2,0,7.77902701108545,6.194249688564741,-4.467161993166751
FittsTaskTwo,P99,C01,B01,7,500.0,30.0,486.71094135637037,-9.926753548074057,686,110,796,0,0,1,2,1,9.959601925221826,7.179688010572179,-2.450503371302248
FittsTaskTwo,P99,C01,B01,8,500.0,30.0,498.98548286327895,2.347787958834547,514,78,592,0,0,0,2,0,6.873510006775309,7.813905468344789,7.11585132634756
FittsTaskTwo,P99,C01,B01,9,500.0,30.0,494.71041530414027,-1.547582112526045,578,62,640,0,0,2,1,1,6.726548758469232,5.707205059847432,-0.43748955873330586
FittsTaskTwo,P99,C01,B01,10,500.0,30.0,496.5403541345483,0.5685807441667382,796,109,905,0,0,1,3,0,8.336487229239431,9.35532821089018,8.785717895434791
FittsTaskTwo,P99,C01,B01,11,500.0,30.0,486.29967674952275,-10.313855083833557,624,93,717,0,0,0,1,1,5.865760296054042,14.312908157631448,-14.312908157631448
FittsTaskTwo,P99,C01,B01,12,500.0,30.0,496.9959778105087,0.04426989514195574,827,78,905,0,0,1,2,2,13.491560246412337,19.915128543119316,19.195886480489275
